28,select fieldid from field where cccol_u between # and -.# and skyframes_r between # and # and expapcorrectionerr_r between .# and #
2019-01-28 18:14:00,3
2019-01-28 18:18:00,1
2019-01-28 18:22:00,2
2019-01-28 18:35:00,1
2019-01-28 18:40:00,1
2019-01-28 18:42:00,3
2019-01-28 18:48:00,3
2019-01-28 18:51:00,1
2019-01-28 18:53:00,1
2019-01-28 18:55:00,2
2019-01-28 18:57:00,1
2019-01-28 19:01:00,1
2019-01-28 19:05:00,2
2019-01-28 19:08:00,1
2019-01-28 19:10:00,1
2019-01-28 19:12:00,1
2019-01-28 19:13:00,3
