156,select fieldid from field where skyslope_r between .# and .# and medianpsfcolor_r between # and #
2019-01-28 14:20:00,1
2019-01-28 15:34:00,1
2019-01-28 15:46:00,1
2019-01-28 15:54:00,7
2019-01-28 16:01:00,2
2019-01-28 16:03:00,1
2019-01-28 16:12:00,5
2019-01-28 16:26:00,1
2019-01-28 16:28:00,1
2019-01-28 16:46:00,2
2019-01-28 16:48:00,5
2019-01-28 16:49:00,1
2019-01-28 16:50:00,5
2019-01-28 16:52:00,1
2019-01-28 16:53:00,1
2019-01-28 16:54:00,1
2019-01-28 16:55:00,1
2019-01-28 16:56:00,1
2019-01-28 16:57:00,3
2019-01-28 16:58:00,1
2019-01-28 16:59:00,7
2019-01-28 17:00:00,2
2019-01-28 17:04:00,4
2019-01-28 17:05:00,1
2019-01-28 17:06:00,1
2019-01-28 17:07:00,2
2019-01-28 17:08:00,10
2019-01-28 17:09:00,1
2019-01-28 17:12:00,1
2019-01-28 17:15:00,3
2019-01-28 17:17:00,1
2019-01-28 17:19:00,5
2019-01-28 17:20:00,1
2019-01-28 17:21:00,6
2019-01-28 17:27:00,4
2019-01-28 17:50:00,1
2019-01-28 18:03:00,4
2019-01-28 18:04:00,2
2019-01-28 18:16:00,1
2019-01-28 19:06:00,2
2019-01-28 20:09:00,3
2019-01-28 20:13:00,2
2019-01-28 20:19:00,2
2019-01-28 20:20:00,3
2019-01-28 20:21:00,2
2019-01-28 20:23:00,1
2019-01-28 20:24:00,3
2019-01-28 20:28:00,1
2019-01-28 20:31:00,1
2019-01-28 20:32:00,4
2019-01-28 20:33:00,4
2019-01-28 20:34:00,1
2019-01-28 20:44:00,1
2019-01-28 21:11:00,1
2019-01-28 22:05:00,1
2019-01-28 22:15:00,4
2019-01-28 22:16:00,1
2019-01-28 22:44:00,2
2019-01-28 22:45:00,1
2019-01-28 23:29:00,2
2019-01-28 23:37:00,2
2019-01-28 23:48:00,2
2019-01-28 23:49:00,1
2019-01-28 23:51:00,1
2019-01-28 23:52:00,3
2019-01-28 23:53:00,6
