332,select fieldid from field where medianpsfcolor_z between .# and # and q_u between # and #
2019-01-28 02:40:00,1
2019-01-28 02:41:00,2
2019-01-28 02:42:00,2
2019-01-28 02:43:00,2
2019-01-28 02:44:00,2
2019-01-28 02:45:00,2
2019-01-28 02:46:00,4
2019-01-28 02:47:00,5
2019-01-28 02:49:00,5
2019-01-28 02:54:00,5
2019-01-28 02:58:00,1
2019-01-28 13:30:00,2
2019-01-28 14:05:00,3
2019-01-28 14:50:00,4
2019-01-28 14:51:00,1
2019-01-28 16:02:00,4
2019-01-28 16:06:00,1
2019-01-28 16:07:00,4
2019-01-28 16:08:00,5
2019-01-28 16:10:00,2
2019-01-28 16:12:00,2
2019-01-28 16:16:00,1
2019-01-28 16:17:00,2
2019-01-28 16:18:00,7
2019-01-28 16:19:00,3
2019-01-28 16:20:00,5
2019-01-28 16:21:00,4
2019-01-28 16:22:00,7
2019-01-28 16:23:00,3
2019-01-28 17:03:00,7
2019-01-28 17:08:00,2
2019-01-28 17:09:00,3
2019-01-28 17:10:00,11
2019-01-28 17:11:00,3
2019-01-28 17:12:00,8
2019-01-28 17:13:00,6
2019-01-28 17:14:00,1
2019-01-28 17:55:00,3
2019-01-28 20:43:00,1
2019-01-28 20:48:00,5
2019-01-28 20:49:00,2
2019-01-28 22:02:00,4
2019-01-28 23:06:00,5
2019-01-28 23:07:00,8
2019-01-28 23:08:00,15
2019-01-28 23:10:00,2
2019-01-28 23:11:00,4
2019-01-28 23:16:00,13
2019-01-28 23:17:00,37
2019-01-28 23:18:00,24
2019-01-28 23:19:00,29
2019-01-28 23:20:00,34
2019-01-28 23:21:00,14
