91,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between .# and .#
2019-01-28 16:12:00,4
2019-01-28 16:24:00,3
2019-01-28 16:28:00,3
2019-01-28 16:47:00,2
2019-01-28 16:48:00,1
2019-01-28 16:49:00,1
2019-01-28 16:50:00,3
2019-01-28 16:51:00,1
2019-01-28 16:54:00,1
2019-01-28 16:56:00,2
2019-01-28 16:57:00,4
2019-01-28 16:59:00,3
2019-01-28 17:00:00,5
2019-01-28 17:01:00,1
2019-01-28 17:04:00,1
2019-01-28 17:06:00,1
2019-01-28 17:09:00,2
2019-01-28 17:12:00,1
2019-01-28 17:15:00,2
2019-01-28 17:18:00,7
2019-01-28 17:20:00,9
2019-01-28 17:27:00,2
2019-01-28 17:52:00,1
2019-01-28 17:53:00,1
2019-01-28 18:03:00,7
2019-01-28 18:43:00,1
2019-01-28 19:02:00,2
2019-01-28 19:20:00,3
2019-01-28 20:25:00,1
2019-01-28 20:28:00,1
2019-01-28 20:55:00,4
2019-01-28 20:56:00,1
2019-01-28 21:11:00,1
2019-01-28 21:39:00,1
2019-01-28 21:41:00,3
2019-01-28 23:29:00,2
2019-01-28 23:37:00,1
2019-01-28 23:45:00,2
