8151,"SELECT z, ra, dec, objID FROM SPECPhoto WHERE z> # AND z< # AND ra> # AND ra< # AND dec> # AND dec< # AND type=#"
2019-01-28 09:07:00,379
2019-01-28 09:08:00,976
2019-01-28 09:09:00,1461
2019-01-28 09:11:00,2
2019-01-28 09:12:00,4
2019-01-28 09:20:00,6
2019-01-28 09:21:00,12
2019-01-28 09:42:00,2
2019-01-28 10:24:00,4
2019-01-28 11:09:00,2
2019-01-28 11:21:00,2
2019-01-28 11:24:00,4
2019-01-28 11:26:00,2
2019-01-28 11:27:00,4
2019-01-28 11:34:00,2
2019-01-28 18:39:00,445
2019-01-28 18:40:00,1259
2019-01-28 18:48:00,298
2019-01-28 18:49:00,1337
2019-01-28 18:53:00,1152
2019-01-28 18:54:00,798
