70,select fieldid from field where cccol_u between -.# and # and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-28 18:10:00,1
2019-01-28 18:12:00,3
2019-01-28 18:17:00,4
2019-01-28 18:21:00,4
2019-01-28 18:30:00,6
2019-01-28 18:31:00,7
2019-01-28 18:32:00,1
2019-01-28 18:34:00,3
2019-01-28 18:45:00,4
2019-01-28 18:47:00,5
2019-01-28 18:49:00,1
2019-01-28 18:50:00,2
2019-01-28 18:51:00,1
2019-01-28 18:52:00,2
2019-01-28 18:54:00,4
2019-01-28 18:56:00,4
2019-01-28 19:00:00,7
2019-01-28 19:04:00,2
2019-01-28 19:05:00,1
2019-01-28 19:07:00,5
2019-01-28 19:09:00,3
