2340,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-28 02:30:00,1
2019-01-28 02:36:00,2
2019-01-28 03:08:00,5
2019-01-28 03:14:00,2
2019-01-28 03:15:00,1
2019-01-28 10:41:00,1
2019-01-28 11:15:00,3
2019-01-28 11:45:00,1
2019-01-28 11:48:00,2
2019-01-28 12:21:00,1
2019-01-28 13:22:00,1
2019-01-28 13:28:00,1
2019-01-28 13:30:00,1
2019-01-28 13:52:00,5
2019-01-28 13:54:00,1
2019-01-28 13:55:00,5
2019-01-28 13:58:00,2
2019-01-28 13:59:00,4
2019-01-28 14:00:00,31
2019-01-28 14:01:00,15
2019-01-28 14:08:00,10
2019-01-28 14:14:00,2
2019-01-28 14:16:00,5
2019-01-28 14:18:00,3
2019-01-28 14:20:00,11
2019-01-28 14:21:00,2
2019-01-28 14:22:00,1
2019-01-28 14:37:00,3
2019-01-28 14:38:00,13
2019-01-28 14:48:00,1
2019-01-28 14:49:00,10
2019-01-28 14:54:00,2
2019-01-28 14:55:00,8
2019-01-28 14:56:00,18
2019-01-28 14:57:00,4
2019-01-28 14:58:00,10
2019-01-28 14:59:00,8
2019-01-28 15:00:00,3
2019-01-28 15:01:00,3
2019-01-28 15:03:00,1
2019-01-28 15:04:00,10
2019-01-28 15:05:00,11
2019-01-28 15:08:00,6
2019-01-28 15:11:00,1
2019-01-28 15:12:00,2
2019-01-28 15:14:00,4
2019-01-28 15:20:00,2
2019-01-28 15:21:00,9
2019-01-28 15:32:00,2
2019-01-28 15:33:00,5
2019-01-28 15:34:00,1
2019-01-28 15:37:00,1
2019-01-28 15:38:00,2
2019-01-28 15:39:00,7
2019-01-28 15:40:00,12
2019-01-28 15:41:00,2
2019-01-28 15:42:00,4
2019-01-28 15:43:00,13
2019-01-28 15:44:00,5
2019-01-28 15:45:00,3
2019-01-28 15:49:00,1
2019-01-28 15:50:00,3
2019-01-28 15:53:00,2
2019-01-28 15:56:00,4
2019-01-28 15:57:00,14
2019-01-28 16:04:00,5
2019-01-28 16:05:00,10
2019-01-28 16:06:00,10
2019-01-28 16:40:00,21
2019-01-28 17:06:00,7
2019-01-28 17:29:00,11
2019-01-28 18:01:00,1
2019-01-28 18:46:00,4
2019-01-28 19:20:00,1
