143565,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-28 00:54:00,3
2019-01-28 01:26:00,2
2019-01-28 01:37:00,4
2019-01-28 01:50:00,2
2019-01-28 02:29:00,103
2019-01-28 02:30:00,354
2019-01-28 02:31:00,351
2019-01-28 02:32:00,348
2019-01-28 02:34:00,44
2019-01-28 02:35:00,91
2019-01-28 02:36:00,289
2019-01-28 02:37:00,344
2019-01-28 02:38:00,412
2019-01-28 02:39:00,92
2019-01-28 02:41:00,182
2019-01-28 02:42:00,13
2019-01-28 02:48:00,13
2019-01-28 02:49:00,254
2019-01-28 02:50:00,349
2019-01-28 02:51:00,396
2019-01-28 02:52:00,314
2019-01-28 02:53:00,98
2019-01-28 02:54:00,75
2019-01-28 02:55:00,354
2019-01-28 02:56:00,380
2019-01-28 02:57:00,374
2019-01-28 02:58:00,134
2019-01-28 03:00:00,333
2019-01-28 03:01:00,363
2019-01-28 03:02:00,346
2019-01-28 03:03:00,347
2019-01-28 03:04:00,350
2019-01-28 03:05:00,345
2019-01-28 03:06:00,313
2019-01-28 03:07:00,330
2019-01-28 03:08:00,432
2019-01-28 03:09:00,381
2019-01-28 03:10:00,352
2019-01-28 03:11:00,222
2019-01-28 03:12:00,31
2019-01-28 03:13:00,330
2019-01-28 03:14:00,413
2019-01-28 03:15:00,380
2019-01-28 03:16:00,387
2019-01-28 03:17:00,346
2019-01-28 03:18:00,314
2019-01-28 03:19:00,364
2019-01-28 03:20:00,357
2019-01-28 03:21:00,304
2019-01-28 03:22:00,6
2019-01-28 03:55:00,6
2019-01-28 05:59:00,3
2019-01-28 06:23:00,10
2019-01-28 06:50:00,1
2019-01-28 07:10:00,3
2019-01-28 07:32:00,6
2019-01-28 08:14:00,92
2019-01-28 08:15:00,429
2019-01-28 08:16:00,390
2019-01-28 08:17:00,176
2019-01-28 08:18:00,446
2019-01-28 08:19:00,324
2019-01-28 08:20:00,354
2019-01-28 08:57:00,15
2019-01-28 09:24:00,3
2019-01-28 09:36:00,4
2019-01-28 10:41:00,37
2019-01-28 11:15:00,39
2019-01-28 11:16:00,2
2019-01-28 11:48:00,45
2019-01-28 11:49:00,4
2019-01-28 12:21:00,118
2019-01-28 12:28:00,2
2019-01-28 12:48:00,42
2019-01-28 12:49:00,159
2019-01-28 12:58:00,52
2019-01-28 13:08:00,68
2019-01-28 13:14:00,65
2019-01-28 13:21:00,156
2019-01-28 13:22:00,355
2019-01-28 13:23:00,356
2019-01-28 13:24:00,360
2019-01-28 13:25:00,375
2019-01-28 13:26:00,282
2019-01-28 13:27:00,359
2019-01-28 13:28:00,350
2019-01-28 13:29:00,320
2019-01-28 13:30:00,89
