297,select fieldid from field where medianpsfcolor_z between # and .# and q_u between # and #
2019-01-28 23:05:00,1
2019-01-28 23:06:00,43
2019-01-28 23:07:00,29
2019-01-28 23:08:00,33
2019-01-28 23:09:00,38
2019-01-28 23:10:00,45
2019-01-28 23:11:00,20
2019-01-28 23:16:00,8
2019-01-28 23:17:00,25
2019-01-28 23:18:00,15
2019-01-28 23:19:00,19
2019-01-28 23:20:00,16
2019-01-28 23:21:00,5
