26555,select fieldid from field where medianpsfcolor_z between # and # and q_u between # and #
2019-01-28 02:32:00,29
2019-01-28 02:33:00,412
2019-01-28 02:34:00,280
2019-01-28 02:35:00,239
2019-01-28 02:36:00,81
2019-01-28 02:39:00,260
2019-01-28 02:40:00,307
2019-01-28 02:41:00,159
2019-01-28 02:42:00,363
2019-01-28 02:43:00,400
2019-01-28 02:44:00,413
2019-01-28 02:45:00,438
2019-01-28 02:46:00,352
2019-01-28 02:47:00,288
2019-01-28 02:48:00,332
2019-01-28 02:49:00,168
2019-01-28 02:53:00,234
2019-01-28 02:54:00,270
2019-01-28 02:58:00,171
2019-01-28 02:59:00,372
2019-01-28 03:00:00,28
2019-01-28 03:10:00,50
2019-01-28 03:11:00,140
2019-01-28 03:12:00,340
2019-01-28 03:13:00,6
2019-01-28 13:29:00,1
2019-01-28 13:30:00,225
2019-01-28 13:56:00,82
2019-01-28 13:57:00,457
2019-01-28 13:58:00,268
2019-01-28 14:04:00,98
2019-01-28 14:05:00,363
2019-01-28 14:06:00,297
2019-01-28 14:21:00,24
2019-01-28 14:50:00,24
2019-01-28 14:51:00,87
2019-01-28 15:34:00,12
2019-01-28 15:35:00,34
2019-01-28 15:49:00,164
2019-01-28 15:50:00,170
2019-01-28 15:51:00,181
2019-01-28 15:52:00,262
2019-01-28 15:53:00,147
2019-01-28 16:02:00,122
2019-01-28 16:03:00,21
2019-01-28 16:06:00,119
2019-01-28 16:07:00,322
2019-01-28 16:08:00,380
2019-01-28 16:09:00,354
2019-01-28 16:10:00,247
2019-01-28 16:11:00,319
2019-01-28 16:12:00,12
2019-01-28 16:15:00,6
2019-01-28 16:16:00,317
2019-01-28 16:17:00,360
2019-01-28 16:18:00,376
2019-01-28 16:19:00,310
2019-01-28 16:20:00,370
2019-01-28 16:21:00,364
2019-01-28 16:22:00,278
2019-01-28 16:23:00,309
2019-01-28 16:24:00,5
2019-01-28 16:25:00,63
2019-01-28 16:52:00,195
2019-01-28 16:53:00,123
2019-01-28 16:58:00,262
2019-01-28 16:59:00,138
2019-01-28 17:00:00,121
2019-01-28 17:01:00,89
2019-01-28 17:02:00,347
2019-01-28 17:03:00,379
2019-01-28 17:04:00,95
2019-01-28 17:07:00,14
2019-01-28 17:08:00,95
2019-01-28 17:09:00,68
2019-01-28 17:10:00,339
2019-01-28 17:11:00,174
2019-01-28 17:12:00,170
2019-01-28 17:13:00,297
2019-01-28 17:14:00,331
2019-01-28 17:15:00,54
2019-01-28 17:16:00,9
2019-01-28 17:17:00,141
2019-01-28 17:28:00,350
2019-01-28 17:29:00,2
2019-01-28 17:53:00,196
2019-01-28 17:54:00,121
2019-01-28 17:55:00,354
2019-01-28 17:56:00,418
2019-01-28 17:57:00,359
2019-01-28 17:58:00,346
2019-01-28 17:59:00,369
2019-01-28 18:00:00,335
2019-01-28 18:01:00,43
2019-01-28 18:02:00,45
2019-01-28 18:05:00,296
2019-01-28 18:06:00,377
2019-01-28 18:07:00,386
2019-01-28 18:08:00,127
2019-01-28 18:13:00,54
2019-01-28 18:14:00,90
2019-01-28 18:27:00,131
2019-01-28 18:28:00,1
2019-01-28 18:41:00,68
2019-01-28 19:15:00,6
2019-01-28 19:16:00,63
2019-01-28 20:42:00,384
2019-01-28 20:43:00,47
2019-01-28 20:47:00,85
2019-01-28 20:48:00,358
2019-01-28 20:49:00,185
2019-01-28 20:50:00,2
2019-01-28 21:14:00,107
2019-01-28 21:15:00,46
2019-01-28 21:59:00,10
2019-01-28 22:00:00,18
2019-01-28 22:01:00,14
2019-01-28 22:02:00,170
2019-01-28 22:03:00,19
2019-01-28 22:15:00,66
2019-01-28 22:31:00,86
2019-01-28 22:32:00,142
2019-01-28 22:33:00,151
2019-01-28 22:34:00,145
2019-01-28 23:05:00,22
2019-01-28 23:06:00,223
2019-01-28 23:07:00,242
2019-01-28 23:08:00,276
2019-01-28 23:09:00,241
2019-01-28 23:10:00,225
2019-01-28 23:11:00,180
2019-01-28 23:15:00,70
2019-01-28 23:16:00,138
2019-01-28 23:17:00,251
2019-01-28 23:18:00,222
2019-01-28 23:19:00,239
2019-01-28 23:20:00,238
2019-01-28 23:21:00,75
2019-01-28 23:23:00,26
2019-01-28 23:24:00,44
2019-01-28 23:28:00,13
2019-01-28 23:41:00,107
2019-01-28 23:42:00,28
