1520,select fieldid from field where a_g between # and # and skyframes_g between # and #
2019-01-28 02:29:00,171
2019-01-28 13:22:00,2
2019-01-28 13:23:00,8
2019-01-28 14:50:00,2
2019-01-28 14:51:00,11
2019-01-28 15:34:00,1
2019-01-28 15:35:00,4
2019-01-28 15:49:00,18
2019-01-28 15:50:00,31
2019-01-28 15:51:00,24
2019-01-28 15:52:00,15
2019-01-28 16:02:00,11
2019-01-28 16:03:00,4
2019-01-28 16:23:00,23
2019-01-28 16:25:00,5
2019-01-28 16:33:00,7
2019-01-28 16:40:00,16
2019-01-28 16:41:00,1
2019-01-28 17:09:00,13
2019-01-28 17:11:00,7
2019-01-28 17:17:00,4
2019-01-28 17:53:00,16
2019-01-28 17:54:00,11
2019-01-28 17:55:00,17
2019-01-28 17:56:00,2
2019-01-28 18:00:00,13
2019-01-28 18:01:00,1
2019-01-28 18:02:00,3
2019-01-28 18:13:00,10
2019-01-28 18:14:00,14
2019-01-28 18:17:00,3
2019-01-28 18:18:00,12
2019-01-28 18:19:00,34
2019-01-28 18:20:00,40
2019-01-28 18:21:00,12
2019-01-28 18:27:00,19
2019-01-28 18:28:00,1
2019-01-28 18:36:00,7
2019-01-28 18:37:00,35
2019-01-28 18:38:00,40
2019-01-28 18:39:00,16
2019-01-28 18:46:00,19
2019-01-28 18:47:00,14
2019-01-28 19:11:00,20
2019-01-28 19:16:00,8
2019-01-28 20:17:00,132
2019-01-28 20:18:00,127
2019-01-28 20:24:00,52
2019-01-28 20:28:00,1
2019-01-28 20:30:00,4
2019-01-28 20:38:00,91
2019-01-28 20:39:00,58
2019-01-28 21:14:00,16
2019-01-28 21:15:00,4
2019-01-28 21:51:00,14
2019-01-28 21:59:00,1
2019-01-28 22:00:00,2
2019-01-28 22:01:00,2
2019-01-28 22:02:00,19
2019-01-28 22:03:00,2
2019-01-28 22:11:00,8
2019-01-28 22:12:00,20
2019-01-28 22:14:00,14
2019-01-28 22:15:00,5
2019-01-28 22:17:00,7
2019-01-28 22:29:00,14
2019-01-28 22:30:00,13
2019-01-28 22:31:00,30
2019-01-28 22:32:00,33
2019-01-28 22:33:00,30
2019-01-28 22:34:00,27
2019-01-28 23:18:00,4
2019-01-28 23:21:00,26
2019-01-28 23:22:00,18
2019-01-28 23:42:00,1
