520,select fieldid from field where cccol_u between # and -.# and skyframes_r between .# and #
2019-01-28 13:03:00,1
2019-01-28 13:14:00,3
2019-01-28 13:16:00,1
2019-01-28 13:18:00,2
2019-01-28 13:20:00,1
2019-01-28 13:31:00,4
2019-01-28 13:32:00,1
2019-01-28 13:33:00,1
2019-01-28 13:34:00,1
2019-01-28 13:35:00,1
2019-01-28 13:36:00,1
2019-01-28 13:37:00,2
2019-01-28 13:39:00,2
2019-01-28 13:40:00,1
2019-01-28 13:41:00,1
2019-01-28 13:43:00,7
2019-01-28 13:44:00,3
2019-01-28 13:45:00,3
2019-01-28 13:46:00,2
2019-01-28 13:47:00,5
2019-01-28 13:48:00,1
2019-01-28 13:49:00,2
2019-01-28 13:50:00,16
2019-01-28 13:51:00,40
2019-01-28 14:17:00,317
2019-01-28 14:18:00,101
