20132,"SELECT TOP # SP.objID, SP.ra, SP.dec, SP.type, SP.psfMag_r, SP.psfMagErr_r, SP.petroMag_r, SP.petroMagErr_r, SP.modelMag_r, SP.modelMagErr_r, S.specObjId, S.veldisp, S.Z, S.zWarning FROM specObj as S JOIN SpecPhoto AS SP ON S.specObjId = SP.specObjID JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON S.bestObjID = PN.objID ORDER BY distance"
2019-07-08 20:08:00,4
2019-07-08 20:13:00,80
2019-07-08 20:14:00,192
2019-07-08 20:15:00,182
2019-07-08 20:16:00,201
2019-07-08 20:17:00,195
2019-07-08 20:18:00,190
2019-07-08 20:19:00,195
2019-07-08 20:20:00,184
2019-07-08 20:21:00,169
2019-07-08 20:22:00,128
2019-07-08 20:23:00,158
2019-07-08 20:24:00,152
2019-07-08 20:25:00,136
2019-07-08 20:26:00,121
2019-07-08 20:27:00,189
2019-07-08 20:28:00,186
2019-07-08 20:29:00,193
2019-07-08 20:30:00,181
2019-07-08 20:31:00,185
2019-07-08 20:32:00,191
2019-07-08 20:33:00,184
2019-07-08 20:34:00,190
2019-07-08 20:35:00,192
2019-07-08 20:36:00,188
2019-07-08 20:37:00,186
2019-07-08 20:38:00,185
2019-07-08 20:39:00,194
2019-07-08 20:40:00,194
2019-07-08 20:41:00,191
2019-07-08 20:42:00,171
2019-07-08 20:43:00,185
2019-07-08 20:44:00,187
2019-07-08 20:45:00,191
2019-07-08 20:46:00,183
2019-07-08 20:47:00,190
2019-07-08 20:48:00,178
2019-07-08 20:49:00,92
2019-07-08 20:52:00,116
2019-07-08 20:53:00,197
2019-07-08 20:54:00,189
2019-07-08 20:55:00,198
2019-07-08 20:56:00,191
2019-07-08 20:57:00,191
2019-07-08 20:58:00,194
2019-07-08 20:59:00,188
2019-07-08 21:00:00,190
2019-07-08 21:01:00,196
2019-07-08 21:02:00,199
2019-07-08 21:03:00,193
2019-07-08 21:04:00,201
2019-07-08 21:05:00,187
2019-07-08 21:06:00,191
2019-07-08 21:07:00,196
2019-07-08 21:08:00,191
2019-07-08 21:09:00,193
2019-07-08 21:10:00,189
2019-07-08 21:11:00,193
2019-07-08 21:12:00,197
2019-07-08 21:13:00,186
2019-07-08 21:14:00,194
2019-07-08 21:15:00,190
2019-07-08 21:16:00,181
2019-07-08 21:17:00,193
2019-07-08 21:18:00,174
2019-07-08 21:19:00,180
2019-07-08 21:20:00,201
2019-07-08 21:21:00,178
2019-07-08 21:22:00,191
2019-07-08 21:23:00,197
2019-07-08 21:24:00,184
2019-07-08 21:25:00,197
2019-07-08 21:26:00,63
2019-07-08 21:56:00,95
2019-07-08 21:57:00,191
2019-07-08 21:58:00,203
2019-07-08 21:59:00,204
2019-07-08 22:00:00,174
2019-07-08 22:01:00,202
2019-07-08 22:02:00,186
2019-07-08 22:03:00,195
2019-07-08 22:04:00,195
2019-07-08 22:05:00,195
2019-07-08 22:06:00,131
2019-07-08 22:07:00,207
2019-07-08 22:08:00,202
2019-07-08 22:09:00,199
2019-07-08 22:10:00,193
2019-07-08 22:11:00,190
2019-07-08 22:12:00,196
2019-07-08 22:13:00,165
2019-07-08 22:14:00,172
2019-07-08 22:15:00,191
2019-07-08 22:16:00,192
2019-07-08 22:17:00,189
2019-07-08 22:18:00,194
2019-07-08 22:19:00,183
2019-07-08 22:20:00,192
2019-07-08 22:21:00,186
2019-07-08 22:22:00,196
2019-07-08 22:23:00,208
2019-07-08 22:24:00,200
2019-07-08 22:25:00,212
2019-07-08 22:26:00,211
2019-07-08 22:27:00,202
2019-07-08 22:28:00,207
2019-07-08 22:29:00,200
2019-07-08 22:30:00,208
2019-07-08 22:31:00,202
2019-07-08 22:32:00,205
2019-07-08 22:33:00,77
