2,"SELECT TOP # objID, ra, dec, cModelMag_g  FROM Galaxy  WHERE ra BETWEEN # AND #    AND dec < #   AND cModelMag_g BETWEEN # AND #"
2019-07-08 01:04:00,1
2019-07-08 01:05:00,1
