242,select
2019-07-08 01:45:00,3
2019-07-08 02:35:00,3
2019-07-08 03:01:00,1
2019-07-08 03:02:00,2
2019-07-08 03:19:00,3
2019-07-08 03:33:00,3
2019-07-08 03:44:00,3
2019-07-08 03:54:00,3
2019-07-08 04:57:00,1
2019-07-08 04:58:00,1
2019-07-08 05:11:00,1
2019-07-08 05:15:00,1
2019-07-08 05:16:00,1
2019-07-08 05:22:00,3
2019-07-08 05:24:00,3
2019-07-08 05:25:00,1
2019-07-08 05:28:00,1
2019-07-08 05:29:00,1
2019-07-08 05:50:00,3
2019-07-08 05:58:00,3
2019-07-08 06:06:00,3
2019-07-08 06:14:00,3
2019-07-08 06:21:00,3
2019-07-08 06:29:00,3
2019-07-08 06:43:00,3
2019-07-08 07:04:00,2
2019-07-08 07:11:00,3
2019-07-08 07:19:00,3
2019-07-08 07:32:00,3
2019-07-08 07:39:00,3
2019-07-08 07:46:00,3
2019-07-08 07:53:00,3
2019-07-08 08:06:00,3
2019-07-08 08:12:00,3
2019-07-08 08:18:00,3
2019-07-08 08:31:00,3
2019-07-08 08:37:00,3
2019-07-08 08:43:00,3
2019-07-08 08:55:00,3
2019-07-08 09:01:00,3
2019-07-08 09:07:00,3
2019-07-08 09:13:00,3
2019-07-08 09:19:00,3
2019-07-08 09:26:00,2
2019-07-08 09:31:00,3
2019-07-08 09:37:00,3
2019-07-08 09:42:00,3
2019-07-08 09:48:00,3
2019-07-08 09:54:00,3
2019-07-08 10:24:00,3
2019-07-08 10:29:00,3
2019-07-08 10:39:00,3
2019-07-08 10:44:00,3
2019-07-08 10:59:00,3
2019-07-08 11:04:00,3
2019-07-08 11:14:00,3
2019-07-08 11:19:00,3
2019-07-08 11:24:00,3
2019-07-08 11:29:00,3
2019-07-08 11:40:00,3
2019-07-08 11:54:00,3
2019-07-08 11:59:00,3
2019-07-08 12:04:00,3
2019-07-08 12:09:00,3
2019-07-08 12:14:00,3
2019-07-08 12:18:00,2
2019-07-08 12:19:00,1
2019-07-08 18:14:00,3
2019-07-08 18:15:00,5
2019-07-08 18:16:00,1
2019-07-08 18:17:00,1
2019-07-08 18:18:00,2
2019-07-08 18:19:00,1
2019-07-08 18:20:00,5
2019-07-08 18:21:00,5
2019-07-08 18:22:00,1
2019-07-08 18:29:00,1
2019-07-08 18:30:00,1
2019-07-08 18:31:00,1
2019-07-08 18:38:00,3
2019-07-08 18:39:00,4
2019-07-08 18:40:00,1
2019-07-08 20:11:00,3
2019-07-08 20:31:00,2
2019-07-08 20:32:00,2
2019-07-08 20:42:00,1
2019-07-08 20:43:00,2
2019-07-08 20:44:00,3
2019-07-08 20:45:00,2
2019-07-08 21:50:00,1
2019-07-08 21:51:00,1
2019-07-08 21:53:00,1
2019-07-08 22:40:00,2
2019-07-08 23:40:00,1
2019-07-08 23:41:00,2
2019-07-08 23:42:00,1
2019-07-08 23:44:00,1
2019-07-08 23:45:00,1
2019-07-08 23:58:00,2
2019-07-08 23:59:00,2
