812,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z_noqso as specz,s.zErr_noqso as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID AND                  ((flags & #)!=#) AND ((flags & #)=#) AND                  ((flags & #)=#) AND ((flags & #)!=#)"
2019-07-08 04:48:00,11
2019-07-08 04:49:00,6
2019-07-08 04:50:00,9
2019-07-08 04:51:00,3
2019-07-08 04:52:00,3
2019-07-08 04:53:00,10
2019-07-08 04:54:00,8
2019-07-08 04:55:00,15
2019-07-08 04:56:00,18
2019-07-08 04:57:00,20
2019-07-08 04:58:00,8
2019-07-08 04:59:00,8
2019-07-08 05:00:00,10
2019-07-08 05:01:00,10
2019-07-08 05:02:00,9
2019-07-08 05:03:00,8
2019-07-08 05:04:00,6
2019-07-08 05:05:00,7
2019-07-08 05:06:00,3
2019-07-08 05:07:00,2
2019-07-08 05:08:00,7
2019-07-08 05:09:00,9
2019-07-08 05:10:00,7
2019-07-08 05:11:00,11
2019-07-08 05:12:00,11
2019-07-08 05:13:00,7
2019-07-08 05:14:00,9
2019-07-08 05:15:00,5
2019-07-08 05:16:00,2
2019-07-08 05:17:00,1
2019-07-08 05:18:00,5
2019-07-08 05:19:00,4
2019-07-08 05:20:00,8
2019-07-08 05:21:00,4
2019-07-08 05:22:00,5
2019-07-08 05:23:00,8
2019-07-08 05:24:00,7
2019-07-08 05:25:00,11
2019-07-08 05:26:00,18
2019-07-08 05:27:00,15
2019-07-08 05:28:00,12
2019-07-08 05:29:00,4
2019-07-08 05:30:00,11
2019-07-08 05:31:00,10
2019-07-08 05:32:00,8
2019-07-08 05:33:00,6
2019-07-08 05:34:00,11
2019-07-08 05:35:00,12
2019-07-08 05:36:00,6
2019-07-08 05:37:00,10
2019-07-08 05:38:00,7
2019-07-08 06:11:00,12
2019-07-08 06:12:00,11
2019-07-08 06:13:00,7
2019-07-08 06:14:00,9
2019-07-08 06:15:00,11
2019-07-08 06:16:00,15
2019-07-08 06:17:00,19
2019-07-08 06:18:00,20
2019-07-08 06:19:00,9
2019-07-08 06:20:00,14
2019-07-08 06:21:00,12
2019-07-08 06:22:00,12
2019-07-08 06:23:00,8
2019-07-08 06:24:00,11
2019-07-08 06:25:00,2
2019-07-08 06:26:00,2
2019-07-08 06:27:00,11
2019-07-08 06:28:00,7
2019-07-08 06:29:00,13
2019-07-08 06:30:00,14
2019-07-08 06:31:00,10
2019-07-08 06:32:00,10
2019-07-08 06:33:00,1
2019-07-08 06:34:00,4
2019-07-08 06:35:00,7
2019-07-08 06:36:00,9
2019-07-08 06:37:00,7
2019-07-08 06:38:00,8
2019-07-08 06:39:00,10
2019-07-08 06:40:00,16
2019-07-08 06:41:00,17
2019-07-08 06:42:00,17
2019-07-08 06:43:00,14
2019-07-08 06:44:00,12
2019-07-08 06:45:00,8
2019-07-08 06:46:00,8
2019-07-08 06:47:00,6
2019-07-08 06:48:00,4
