16,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-07-08 04:54:00,1
2019-07-08 04:56:00,1
2019-07-08 05:13:00,1
2019-07-08 05:30:00,1
2019-07-08 13:06:00,1
2019-07-08 13:09:00,1
2019-07-08 13:14:00,1
2019-07-08 13:23:00,1
2019-07-08 13:40:00,1
2019-07-08 17:07:00,1
2019-07-08 17:09:00,1
2019-07-08 17:12:00,1
2019-07-08 17:17:00,1
2019-07-08 17:26:00,1
2019-07-08 17:43:00,1
2019-07-08 23:57:00,1
