23,"select pa.objID, pa.ra, pa.dec, pa.type,   pa.dered_u, pa.modelMag_u, pa.modelMagErr_u,     pa.dered_g, pa.modelMag_g, pa.modelMagErr_g,   pa.dered_r, pa.modelMag_r, pa.modelMagErr_r,   pa.dered_i, pa.modelMag_i, pa.modelMagErr_i,   pa.dered_z, pa.modelMag_z, pa.modelMagErr_z  into mydb.S8#PhotoObj_#B from PhotoObjAll as pa  WHERE (pa.dec between #. and #)   and (pa.ra between # and #)   and ((pa.flags & #)=#)   and ((pa.flags & #)=#)   and ((pa.flags & #)=# or pa.psfMagErr_r<=#)   and ((pa.flags & #)=#)   and ((pa.type)=# or (pa.type)=#)"
2019-07-08 10:27:00,1
2019-07-08 10:32:00,1
2019-07-08 10:35:00,1
2019-07-08 10:40:00,1
2019-07-08 10:47:00,1
2019-07-08 10:51:00,1
2019-07-08 10:56:00,1
2019-07-08 11:00:00,1
2019-07-08 11:02:00,1
2019-07-08 11:07:00,1
2019-07-08 11:13:00,1
2019-07-08 11:17:00,1
2019-07-08 11:20:00,1
2019-07-08 11:23:00,1
2019-07-08 11:29:00,1
2019-07-08 11:31:00,1
2019-07-08 11:36:00,1
2019-07-08 11:39:00,1
2019-07-08 11:45:00,1
2019-07-08 11:48:00,1
2019-07-08 11:52:00,1
2019-07-08 11:55:00,1
2019-07-08 11:59:00,1
