41,"select BlockLot,  Neighborhood    , Lat=GeogCenter.Lat, Long=GeogCenter.Long, Str=GeogCenter.ToString()    , IsVacant, IsDemolished, IsMCC  from RealPropertiesExtra  where IsVacant = #"
2019-07-08 00:07:00,2
2019-07-08 00:15:00,1
2019-07-08 00:16:00,2
2019-07-08 00:24:00,4
2019-07-08 00:25:00,2
2019-07-08 00:26:00,1
2019-07-08 00:27:00,3
2019-07-08 00:35:00,5
2019-07-08 00:36:00,1
2019-07-08 00:37:00,1
2019-07-08 00:38:00,3
2019-07-08 00:39:00,2
2019-07-08 02:17:00,1
2019-07-08 02:20:00,1
2019-07-08 02:21:00,2
2019-07-08 02:22:00,1
2019-07-08 02:27:00,2
2019-07-08 02:28:00,3
2019-07-08 11:06:00,4
