2,"select top # p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #) and (p.g BETWEEN # AND #) and (s.class = &&&)"
2019-03-26 08:33:00,1
2019-03-26 08:45:00,1
