17,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-03-26 00:03:00,1
2019-03-26 00:05:00,1
2019-03-26 00:07:00,1
2019-03-26 00:12:00,1
2019-03-26 00:15:00,1
2019-03-26 00:24:00,1
2019-03-26 00:26:00,1
2019-03-26 00:28:00,1
2019-03-26 00:30:00,1
2019-03-26 00:34:00,1
2019-03-26 00:53:00,1
2019-03-26 00:54:00,1
2019-03-26 00:55:00,1
2019-03-26 01:00:00,1
2019-03-26 01:11:00,1
2019-03-26 01:24:00,1
2019-03-26 01:35:00,1
