3,"select top # p.objid, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #)  and s.z BETWEEN # AND #"
2019-03-26 08:04:00,1
2019-03-26 08:06:00,2
