18,"select top # p.objid as name, p.ra, p.dec from galaxy p where (p.u BETWEEN # AND #)"
2019-03-26 07:53:00,1
2019-03-26 07:54:00,3
2019-03-26 08:00:00,2
2019-03-26 08:02:00,1
2019-03-26 08:03:00,3
2019-03-26 08:04:00,2
2019-03-26 08:05:00,2
2019-03-26 08:07:00,1
2019-03-26 08:17:00,1
2019-03-26 08:19:00,1
2019-03-26 08:49:00,1
