13,"select top # p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #)"
2019-03-26 07:57:00,1
2019-03-26 08:01:00,1
2019-03-26 08:11:00,1
2019-03-26 08:12:00,1
2019-03-26 08:17:00,2
2019-03-26 08:18:00,1
2019-03-26 08:19:00,2
2019-03-26 08:21:00,1
2019-03-26 08:23:00,1
2019-03-26 08:56:00,2
