25,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-03-26 07:56:00,2
2019-03-26 07:57:00,2
2019-03-26 07:58:00,2
2019-03-26 07:59:00,2
2019-03-26 08:00:00,2
2019-03-26 08:01:00,1
2019-03-26 08:06:00,1
2019-03-26 08:11:00,1
2019-03-26 08:12:00,1
2019-03-26 08:15:00,1
2019-03-26 08:56:00,1
2019-03-26 14:50:00,1
2019-03-26 14:52:00,1
2019-03-26 20:26:00,1
2019-03-26 20:52:00,1
2019-03-26 21:10:00,1
2019-03-26 21:39:00,1
2019-03-26 21:40:00,2
2019-03-26 21:46:00,1
