2040,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and ra BETWEEN # AND #   and dec BETWEEN # AND #   and z BETWEEN nan and nan"
2019-03-26 15:45:00,1
2019-03-26 15:46:00,105
2019-03-26 15:47:00,111
2019-03-26 15:48:00,115
2019-03-26 15:49:00,110
2019-03-26 15:50:00,101
2019-03-26 15:51:00,100
2019-03-26 15:52:00,103
2019-03-26 15:53:00,113
2019-03-26 15:54:00,112
2019-03-26 15:55:00,106
2019-03-26 15:56:00,108
2019-03-26 15:57:00,75
2019-03-26 15:58:00,64
2019-03-26 15:59:00,80
2019-03-26 16:00:00,61
2019-03-26 16:01:00,53
2019-03-26 16:02:00,28
2019-03-26 16:37:00,103
2019-03-26 16:38:00,99
2019-03-26 16:39:00,11
2019-03-26 16:40:00,6
2019-03-26 16:41:00,8
2019-03-26 16:42:00,11
2019-03-26 16:43:00,5
2019-03-26 17:41:00,12
2019-03-26 17:42:00,176
2019-03-26 17:43:00,28
2019-03-26 17:44:00,20
2019-03-26 17:45:00,9
2019-03-26 17:46:00,6
