8,"select top # p.objid, p.ra, p.dec from star p where (p.u BETWEEN # AND #)"
2019-03-26 08:02:00,1
2019-03-26 08:11:00,3
2019-03-26 08:20:00,1
2019-03-26 08:21:00,1
2019-03-26 08:22:00,2
