4,"SELECT top # G.ObjID, G.u, G.g, G.r, G.i, G.z  FROM  Galaxy G                                  -- compare Galaxy and Star       JOIN Star S ON G.parentID = S.parentID    -- using the same parent WHERE     G.parentID > #   -- if the galaxy has a parent"
2019-03-26 18:04:00,3
2019-03-26 18:05:00,1
