16,"SELECT count(*) as &&&,   sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type=#) then # else # end) as &&&,  sum( case when (Type not in (#,#)) then # else # end) as &&&  FROM PhotoPrimary   WHERE (( u - g > #) or (u > #) )   and ( i between # and # )   and ( g - r > # )   and ( (r - i < # + # * (g - r - #)) or (g - r > # ) )  and ( i - z < # )"
2019-03-26 08:47:00,1
2019-03-26 09:01:00,1
2019-03-26 09:03:00,1
2019-03-26 10:02:00,1
2019-03-26 10:04:00,1
2019-03-26 16:15:00,1
2019-03-26 21:08:00,1
2019-03-26 21:15:00,1
2019-03-26 21:20:00,3
2019-03-26 21:21:00,3
2019-03-26 21:22:00,2
