2,"SELECT ra, dec, dered_r, modelMag_u, modelMagErr_u, modelMag_g,modelMagErr_g ,modelMag_r,modelMagErr_r, modelMag_i,modelMagErr_i, modelMag_z,modelMagErr_z ,petroR9#_r, petroR5#_r into mydb.MyTable_# from PhotoObjAll WHERE dered_r BETWEEN # AND #   AND ra BETWEEN # AND #"
2019-03-26 03:07:00,1
2019-03-26 03:08:00,1
