3,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from photoobj p, specobj s where p.objid=s.bestobjid and p.u < #"
2019-03-26 08:05:00,1
2019-03-26 08:06:00,2
