4444,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-03-26 15:29:00,2
2019-03-26 15:30:00,45
2019-03-26 15:31:00,52
2019-03-26 15:32:00,42
2019-03-26 15:33:00,25
2019-03-26 15:34:00,60
2019-03-26 15:35:00,52
2019-03-26 15:36:00,50
2019-03-26 15:37:00,50
2019-03-26 15:38:00,51
2019-03-26 15:39:00,55
2019-03-26 15:40:00,47
2019-03-26 15:41:00,54
2019-03-26 15:42:00,53
2019-03-26 15:43:00,51
2019-03-26 15:44:00,49
2019-03-26 15:45:00,45
2019-03-26 15:57:00,14
2019-03-26 15:58:00,22
2019-03-26 15:59:00,13
2019-03-26 16:00:00,22
2019-03-26 16:01:00,23
2019-03-26 16:02:00,37
2019-03-26 16:03:00,18
2019-03-26 16:04:00,50
2019-03-26 16:05:00,48
2019-03-26 16:06:00,52
2019-03-26 16:07:00,49
2019-03-26 16:08:00,51
2019-03-26 16:09:00,53
2019-03-26 16:10:00,45
2019-03-26 16:11:00,52
2019-03-26 16:12:00,48
2019-03-26 16:13:00,26
2019-03-26 16:14:00,33
2019-03-26 16:15:00,33
2019-03-26 16:16:00,31
2019-03-26 16:17:00,41
2019-03-26 16:18:00,43
2019-03-26 16:19:00,49
2019-03-26 16:20:00,43
2019-03-26 16:21:00,49
2019-03-26 16:22:00,47
2019-03-26 16:23:00,49
2019-03-26 16:24:00,48
2019-03-26 16:25:00,45
2019-03-26 16:26:00,41
2019-03-26 16:27:00,45
2019-03-26 16:28:00,39
2019-03-26 16:29:00,42
2019-03-26 16:30:00,41
2019-03-26 16:31:00,45
2019-03-26 16:32:00,47
2019-03-26 16:33:00,44
2019-03-26 16:34:00,44
2019-03-26 16:35:00,41
2019-03-26 16:36:00,20
2019-03-26 16:38:00,2
2019-03-26 16:39:00,41
2019-03-26 16:40:00,42
2019-03-26 16:41:00,43
2019-03-26 16:42:00,47
2019-03-26 16:43:00,40
2019-03-26 17:22:00,11
2019-03-26 17:23:00,79
2019-03-26 17:24:00,88
2019-03-26 17:25:00,88
2019-03-26 17:26:00,88
2019-03-26 17:27:00,86
2019-03-26 17:28:00,56
2019-03-26 17:29:00,59
2019-03-26 17:30:00,60
2019-03-26 17:31:00,74
2019-03-26 17:32:00,78
2019-03-26 17:33:00,83
2019-03-26 17:34:00,83
2019-03-26 17:35:00,83
2019-03-26 17:36:00,78
2019-03-26 17:37:00,73
2019-03-26 17:38:00,79
2019-03-26 17:39:00,80
2019-03-26 17:40:00,79
2019-03-26 17:41:00,47
2019-03-26 17:43:00,71
2019-03-26 17:44:00,78
2019-03-26 17:45:00,81
2019-03-26 17:46:00,83
2019-03-26 17:47:00,83
2019-03-26 17:48:00,15
