64,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-03-26 00:30:00,1
2019-03-26 00:31:00,2
2019-03-26 01:52:00,2
2019-03-26 01:55:00,1
2019-03-26 03:05:00,1
2019-03-26 03:06:00,1
2019-03-26 03:36:00,2
2019-03-26 04:07:00,1
2019-03-26 04:59:00,1
2019-03-26 06:32:00,1
2019-03-26 08:01:00,1
2019-03-26 09:33:00,1
2019-03-26 09:54:00,1
2019-03-26 09:59:00,1
2019-03-26 10:01:00,1
2019-03-26 10:58:00,1
2019-03-26 12:42:00,1
2019-03-26 12:43:00,3
2019-03-26 12:44:00,2
2019-03-26 13:08:00,1
2019-03-26 14:35:00,1
2019-03-26 14:36:00,1
2019-03-26 15:27:00,1
2019-03-26 15:28:00,3
2019-03-26 15:29:00,1
2019-03-26 16:37:00,1
2019-03-26 16:52:00,1
2019-03-26 16:53:00,1
2019-03-26 17:38:00,1
2019-03-26 17:52:00,3
2019-03-26 17:54:00,1
2019-03-26 17:59:00,2
2019-03-26 18:00:00,2
2019-03-26 19:32:00,1
2019-03-26 20:02:00,1
2019-03-26 20:15:00,2
2019-03-26 20:16:00,3
2019-03-26 21:58:00,1
2019-03-26 22:29:00,1
2019-03-26 22:33:00,1
2019-03-26 22:34:00,3
2019-03-26 22:40:00,1
2019-03-26 22:41:00,1
2019-03-26 22:42:00,1
2019-03-26 22:43:00,1
2019-03-26 23:08:00,1
2019-03-26 23:50:00,1
