54254,"SELECT z, ra, dec, objID FROM SPECPhoto WHERE z> # AND z< # AND ra> # AND ra< # AND dec> # AND dec< # AND type=#"
2019-01-23 11:36:00,1049
2019-01-23 11:37:00,201
2019-01-23 11:44:00,1380
2019-01-23 11:45:00,1058
2019-01-23 11:48:00,2157
2019-01-23 11:49:00,12
2019-01-23 11:51:00,1035
2019-01-23 11:52:00,1635
2019-01-23 11:55:00,1253
2019-01-23 11:56:00,544
2019-01-23 11:57:00,2654
2019-01-23 12:04:00,686
2019-01-23 12:05:00,771
2019-01-23 12:06:00,2142
2019-01-23 12:07:00,2537
2019-01-23 12:08:00,2508
2019-01-23 12:09:00,210
2019-01-23 12:10:00,2577
2019-01-23 12:22:00,1457
2019-01-23 12:24:00,2398
2019-01-23 12:25:00,1294
2019-01-23 12:32:00,846
2019-01-23 12:33:00,562
2019-01-23 12:34:00,3171
2019-01-23 12:35:00,35
2019-01-23 16:58:00,1452
2019-01-23 16:59:00,39
2019-01-23 18:51:00,1251
2019-01-23 19:10:00,1328
2019-01-23 19:12:00,2001
2019-01-23 19:13:00,459
2019-01-23 19:14:00,2142
2019-01-23 19:15:00,3484
2019-01-23 19:16:00,429
2019-01-23 19:17:00,1150
2019-01-23 19:18:00,1164
2019-01-23 19:19:00,2456
2019-01-23 19:20:00,108
2019-01-23 19:32:00,1287
2019-01-23 19:42:00,1332
