1457,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-01-23 22:44:00,8
2019-01-23 22:45:00,33
2019-01-23 22:46:00,26
2019-01-23 22:47:00,7
2019-01-23 22:48:00,40
2019-01-23 22:49:00,35
2019-01-23 22:50:00,21
2019-01-23 22:51:00,17
2019-01-23 22:52:00,20
2019-01-23 22:53:00,19
2019-01-23 22:54:00,21
2019-01-23 22:55:00,16
2019-01-23 22:56:00,30
2019-01-23 22:57:00,21
2019-01-23 22:58:00,27
2019-01-23 22:59:00,22
2019-01-23 23:00:00,11
2019-01-23 23:01:00,22
2019-01-23 23:02:00,19
2019-01-23 23:03:00,22
2019-01-23 23:04:00,28
2019-01-23 23:05:00,22
2019-01-23 23:06:00,15
2019-01-23 23:07:00,12
2019-01-23 23:08:00,24
2019-01-23 23:09:00,25
2019-01-23 23:10:00,32
2019-01-23 23:11:00,33
2019-01-23 23:12:00,16
2019-01-23 23:13:00,12
2019-01-23 23:14:00,23
2019-01-23 23:15:00,29
2019-01-23 23:16:00,22
2019-01-23 23:17:00,20
2019-01-23 23:18:00,19
2019-01-23 23:19:00,15
2019-01-23 23:20:00,24
2019-01-23 23:21:00,22
2019-01-23 23:22:00,25
2019-01-23 23:23:00,20
2019-01-23 23:24:00,23
2019-01-23 23:25:00,10
2019-01-23 23:26:00,20
2019-01-23 23:27:00,14
2019-01-23 23:28:00,33
2019-01-23 23:29:00,21
2019-01-23 23:30:00,14
2019-01-23 23:31:00,10
2019-01-23 23:32:00,25
2019-01-23 23:33:00,20
2019-01-23 23:34:00,14
2019-01-23 23:35:00,19
2019-01-23 23:36:00,25
2019-01-23 23:37:00,17
2019-01-23 23:38:00,22
2019-01-23 23:39:00,21
2019-01-23 23:40:00,18
2019-01-23 23:41:00,30
2019-01-23 23:42:00,32
2019-01-23 23:43:00,40
2019-01-23 23:44:00,33
2019-01-23 23:45:00,29
2019-01-23 23:46:00,40
2019-01-23 23:47:00,17
2019-01-23 23:48:00,18
2019-01-23 23:49:00,7
2019-01-23 23:50:00,8
2019-01-23 23:51:00,1
2019-01-23 23:52:00,1
