41,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-23 02:21:00,2
2019-01-23 02:22:00,2
2019-01-23 02:24:00,2
2019-01-23 02:25:00,2
2019-01-23 02:28:00,2
2019-01-23 02:30:00,2
2019-01-23 03:59:00,2
2019-01-23 04:00:00,2
2019-01-23 04:02:00,2
2019-01-23 04:03:00,2
2019-01-23 04:07:00,2
2019-01-23 04:09:00,2
2019-01-23 08:22:00,5
2019-01-23 08:25:00,6
2019-01-23 08:28:00,2
2019-01-23 08:30:00,2
2019-01-23 08:34:00,2
