17,"SELECT   sp.plate, sp.fiberid, sp.mjd, sp.z as redshift, sp.zwarning,  g.h_beta_flux, g.h_beta_flux_err,  g.h_alpha_flux, g.h_alpha_flux_err,  g.h_alpha_eqw, g.oii_#_eqw, sp.ra, sp.dec,  sp.modelMag_g as g, sp.modelMag_i as i, sp.modelmagerr_g as err_g,  sp.modelMagerr_i as err_i   FROM GalSpecLine AS g  JOIN SpecPhoto AS sp ON sp.specobjid = g.specobjid  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = g.specobjid JOIN Galaxy as gal ON gal.specobjId = g.specobjid    WHERE   h_alpha_eqw between # and # and oii_#_eqw between # and #  and sp.modelMag_g-sp.modelMag_i > # and sp.z between # and # and sp.modelMag_i-#*log1#(#E+#*sp.z) < #  and gal.petroR9#_i/gal.petroR5#_i > #"
2019-01-23 00:12:00,1
2019-01-23 00:14:00,1
2019-01-23 00:16:00,1
2019-01-23 00:17:00,1
2019-01-23 00:20:00,1
2019-01-23 00:23:00,1
2019-01-23 10:10:00,1
2019-01-23 10:11:00,1
2019-01-23 10:12:00,1
2019-01-23 10:20:00,1
2019-01-23 10:27:00,1
2019-01-23 10:34:00,1
2019-01-23 10:35:00,1
2019-01-23 10:38:00,2
2019-01-23 10:44:00,1
2019-01-23 10:47:00,1
