12,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #e-#))"
2019-01-23 15:09:00,1
2019-01-23 15:27:00,1
2019-01-23 15:35:00,1
2019-01-23 15:37:00,1
2019-01-23 18:55:00,1
2019-01-23 18:57:00,1
2019-01-23 18:59:00,1
2019-01-23 19:01:00,1
2019-01-23 19:03:00,1
2019-01-23 19:05:00,1
2019-01-23 19:07:00,1
2019-01-23 19:09:00,1
