34,select distinct parent from DBViewCols where viewname=&&&
2019-01-23 01:37:00,1
2019-01-23 01:38:00,1
2019-01-23 01:40:00,1
2019-01-23 02:51:00,1
2019-01-23 03:09:00,1
2019-01-23 05:23:00,1
2019-01-23 05:50:00,1
2019-01-23 05:55:00,1
2019-01-23 06:50:00,1
2019-01-23 07:41:00,1
2019-01-23 07:42:00,1
2019-01-23 08:09:00,1
2019-01-23 10:25:00,1
2019-01-23 10:30:00,1
2019-01-23 11:57:00,1
2019-01-23 13:55:00,1
2019-01-23 14:10:00,1
2019-01-23 14:42:00,1
2019-01-23 16:10:00,1
2019-01-23 18:10:00,1
2019-01-23 18:28:00,3
2019-01-23 20:11:00,1
2019-01-23 21:16:00,1
2019-01-23 21:18:00,2
2019-01-23 21:34:00,2
2019-01-23 21:35:00,1
2019-01-23 23:01:00,1
2019-01-23 23:31:00,1
2019-01-23 23:32:00,1
2019-01-23 23:41:00,1
