11,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between #e-# and #))"
2019-01-23 14:09:00,1
2019-01-23 15:33:00,1
2019-01-23 15:37:00,1
2019-01-23 18:56:00,1
2019-01-23 18:58:00,1
2019-01-23 19:00:00,1
2019-01-23 19:02:00,1
2019-01-23 19:04:00,1
2019-01-23 19:06:00,1
2019-01-23 19:08:00,1
2019-01-23 19:09:00,1
