9,"SELECT   objid, ra, dec, psfMag_g, psfMag_r FROM Star WHERE ra BETWEEN # AND #   AND dec BETWEEN # AND #"
2019-01-23 08:25:00,1
2019-01-23 08:26:00,2
2019-01-23 09:40:00,2
2019-01-23 09:41:00,1
2019-01-23 09:44:00,1
2019-01-23 09:45:00,2
