33,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-23 07:48:00,1
2019-01-23 15:28:00,1
2019-01-23 15:34:00,2
2019-01-23 15:35:00,1
2019-01-23 15:36:00,3
2019-01-23 15:39:00,2
2019-01-23 18:55:00,1
2019-01-23 18:56:00,2
2019-01-23 18:57:00,1
2019-01-23 18:58:00,2
2019-01-23 18:59:00,1
2019-01-23 19:00:00,1
2019-01-23 19:01:00,2
2019-01-23 19:02:00,1
2019-01-23 19:03:00,2
2019-01-23 19:04:00,1
2019-01-23 19:05:00,2
2019-01-23 19:06:00,2
2019-01-23 19:07:00,1
2019-01-23 19:08:00,2
2019-01-23 19:09:00,1
2019-01-23 19:10:00,1
