10,"SELECT s.specobjid, s.ra, s.dec, s.z, s.velDisp, p.PetroRad_r FROM SpecObj s JOIN photoObj p ON p.objId= s.bestObjID WHERE s.class=GALAXY"
2019-11-05 12:53:00,1
2019-11-05 13:09:00,1
2019-11-05 13:15:00,1
2019-11-05 13:32:00,1
2019-11-05 13:33:00,2
2019-11-05 14:15:00,1
2019-11-05 14:21:00,1
2019-11-05 14:23:00,1
2019-11-05 14:44:00,1
