22,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-11-05 00:20:00,1
2019-11-05 00:26:00,1
2019-11-05 00:51:00,1
2019-11-05 01:02:00,1
2019-11-05 01:15:00,1
2019-11-05 01:23:00,1
2019-11-05 01:34:00,1
2019-11-05 02:02:00,1
2019-11-05 02:44:00,1
2019-11-05 02:54:00,1
2019-11-05 02:57:00,1
2019-11-05 03:00:00,1
2019-11-05 03:05:00,1
2019-11-05 03:09:00,1
2019-11-05 03:13:00,1
2019-11-05 03:17:00,1
2019-11-05 03:20:00,1
2019-11-05 03:26:00,1
2019-11-05 03:38:00,1
2019-11-05 04:15:00,1
2019-11-05 04:29:00,1
2019-11-05 04:43:00,1
