23,"SELECT top # s.specobjid, s.ra, s.dec, s.z, s.velDisp, p.PetroRad_r FROM SpecObj s JOIN photoObj p ON p.objId= s.bestObjID WHERE s.class=GALAXY"
2019-11-05 14:27:00,1
2019-11-05 14:29:00,1
2019-11-05 14:46:00,4
2019-11-05 14:47:00,3
2019-11-05 14:48:00,1
2019-11-05 14:50:00,2
2019-11-05 14:51:00,1
2019-11-05 14:52:00,2
2019-11-05 14:54:00,1
2019-11-05 14:55:00,1
2019-11-05 14:56:00,1
2019-11-05 14:59:00,1
2019-11-05 15:14:00,1
2019-11-05 15:17:00,1
2019-11-05 15:19:00,1
2019-11-05 15:22:00,1
