26,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-11-05 00:50:00,1
2019-11-05 01:11:00,1
2019-11-05 03:38:00,1
2019-11-05 03:40:00,3
2019-11-05 03:47:00,1
2019-11-05 03:48:00,5
2019-11-05 05:14:00,2
2019-11-05 08:00:00,2
2019-11-05 12:24:00,3
2019-11-05 13:20:00,2
2019-11-05 16:44:00,1
2019-11-05 20:12:00,1
2019-11-05 22:20:00,2
2019-11-05 23:34:00,1
