4,"select source=run1, target=run2, weight=sum(cts) from astrometry.budavari.S8#r2# where type1=# and type2=# and arcsec<#     and (run1 in (#, #, #, #, #) or run2 in (#, #, #, #, #))     and mid1=mid2 group by run1, run2 having sum(cts)># order by weight desc"
2019-11-05 14:18:00,2
2019-11-05 14:20:00,1
2019-11-05 14:21:00,1
