4295,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-05 12:38:00,1
2019-11-05 12:55:00,1
2019-11-05 13:13:00,1
2019-11-05 13:16:00,1
2019-11-05 13:21:00,1
2019-11-05 13:24:00,2
2019-11-05 13:25:00,1
2019-11-05 13:26:00,1
2019-11-05 13:29:00,1
2019-11-05 13:31:00,2
2019-11-05 13:35:00,1
2019-11-05 13:36:00,2
2019-11-05 13:40:00,1
2019-11-05 13:45:00,2
2019-11-05 13:46:00,1
2019-11-05 13:47:00,2
2019-11-05 13:51:00,1
2019-11-05 13:52:00,1
2019-11-05 13:57:00,8
2019-11-05 14:00:00,19
2019-11-05 14:01:00,59
2019-11-05 14:02:00,59
2019-11-05 14:03:00,62
2019-11-05 14:04:00,62
2019-11-05 14:05:00,61
2019-11-05 14:06:00,55
2019-11-05 14:07:00,60
2019-11-05 14:08:00,63
2019-11-05 14:09:00,60
2019-11-05 14:10:00,65
2019-11-05 14:11:00,68
2019-11-05 14:12:00,66
2019-11-05 14:13:00,66
2019-11-05 14:14:00,69
2019-11-05 14:15:00,68
2019-11-05 14:16:00,64
2019-11-05 14:17:00,67
2019-11-05 14:18:00,66
2019-11-05 14:19:00,68
2019-11-05 14:20:00,70
2019-11-05 14:21:00,71
2019-11-05 14:22:00,68
2019-11-05 14:23:00,68
2019-11-05 14:24:00,66
2019-11-05 14:25:00,70
2019-11-05 14:26:00,72
2019-11-05 14:27:00,72
2019-11-05 14:28:00,71
2019-11-05 14:29:00,70
2019-11-05 14:30:00,69
2019-11-05 14:31:00,70
2019-11-05 14:32:00,70
2019-11-05 14:33:00,70
2019-11-05 14:34:00,70
2019-11-05 14:35:00,69
2019-11-05 14:36:00,66
2019-11-05 14:37:00,72
2019-11-05 14:38:00,68
2019-11-05 14:39:00,68
2019-11-05 14:40:00,70
2019-11-05 14:41:00,69
2019-11-05 14:42:00,68
2019-11-05 14:43:00,64
2019-11-05 14:44:00,66
2019-11-05 14:45:00,70
2019-11-05 14:46:00,66
2019-11-05 14:47:00,69
2019-11-05 14:48:00,70
2019-11-05 14:49:00,72
2019-11-05 14:50:00,68
2019-11-05 14:51:00,70
2019-11-05 14:52:00,18
2019-11-05 15:58:00,10
2019-11-05 16:16:00,10
2019-11-05 17:20:00,142
2019-11-05 17:21:00,18
2019-11-05 17:24:00,37
2019-11-05 17:37:00,1
2019-11-05 17:38:00,63
2019-11-05 17:39:00,85
2019-11-05 17:46:00,1
2019-11-05 17:48:00,38
2019-11-05 17:50:00,38
2019-11-05 17:56:00,15
2019-11-05 17:57:00,17
2019-11-05 17:58:00,26
2019-11-05 17:59:00,6
2019-11-05 18:13:00,16
2019-11-05 18:14:00,16
2019-11-05 18:23:00,58
2019-11-05 18:24:00,42
2019-11-05 18:25:00,12
2019-11-05 18:26:00,47
2019-11-05 18:27:00,69
2019-11-05 18:28:00,40
