2,"SELECT TOP %i    p.u, p.g, p.r, p.i, s.class FROM PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     (s.class = &&& OR s.class = &&& OR s.class = &&&)"
2019-11-05 11:26:00,1
2019-11-05 11:28:00,1
