157,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-05 03:45:00,1
2019-11-05 03:48:00,1
2019-11-05 04:20:00,2
2019-11-05 05:25:00,3
2019-11-05 05:45:00,1
2019-11-05 07:30:00,2
2019-11-05 09:25:00,4
2019-11-05 10:40:00,6
2019-11-05 11:10:00,1
2019-11-05 12:45:00,1
2019-11-05 12:47:00,2
2019-11-05 14:25:00,24
2019-11-05 15:30:00,27
2019-11-05 15:31:00,37
2019-11-05 15:32:00,11
2019-11-05 16:35:00,1
2019-11-05 16:39:00,4
2019-11-05 17:45:00,1
2019-11-05 18:15:00,8
2019-11-05 18:55:00,1
2019-11-05 19:45:00,1
2019-11-05 19:48:00,2
2019-11-05 21:10:00,14
2019-11-05 21:45:00,2
