7,"SELECT TOP #    p.u, p.g, p.r, p.i, p.z, s.class, s.subclass, s.z as redshift, s.zerr as redshift_error, s.zwarning as redshift_warning FROM PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     s.class = &&&"
2019-11-05 12:41:00,1
2019-11-05 13:30:00,1
2019-11-05 13:31:00,1
2019-11-05 13:34:00,2
2019-11-05 14:00:00,1
2019-11-05 14:02:00,1
