584,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-05 10:34:00,5
2019-11-05 10:35:00,9
2019-11-05 10:36:00,1
2019-11-05 10:39:00,10
2019-11-05 10:41:00,4
2019-11-05 10:42:00,6
2019-11-05 10:44:00,10
2019-11-05 10:48:00,10
2019-11-05 10:52:00,4
2019-11-05 10:53:00,6
2019-11-05 10:54:00,5
2019-11-05 10:55:00,5
2019-11-05 10:58:00,10
2019-11-05 11:02:00,10
2019-11-05 11:05:00,5
2019-11-05 11:06:00,5
2019-11-05 11:09:00,10
2019-11-05 11:12:00,4
2019-11-05 11:13:00,8
2019-11-05 11:14:00,2
2019-11-05 11:16:00,4
2019-11-05 11:17:00,6
2019-11-05 11:20:00,6
2019-11-05 11:22:00,4
2019-11-05 11:23:00,4
2019-11-05 11:25:00,10
2019-11-05 11:29:00,10
2019-11-05 11:33:00,10
2019-11-05 11:36:00,10
2019-11-05 11:39:00,9
2019-11-05 11:40:00,1
2019-11-05 11:42:00,1
2019-11-05 11:43:00,9
2019-11-05 11:45:00,10
2019-11-05 11:47:00,4
2019-11-05 11:48:00,6
2019-11-05 11:51:00,10
2019-11-05 11:54:00,10
2019-11-05 11:57:00,10
2019-11-05 12:00:00,1
2019-11-05 12:01:00,9
2019-11-05 12:04:00,9
2019-11-05 12:05:00,1
2019-11-05 12:08:00,10
2019-11-05 12:11:00,3
2019-11-05 12:12:00,3
2019-11-05 12:13:00,3
2019-11-05 12:15:00,9
2019-11-05 12:16:00,1
2019-11-05 12:18:00,4
2019-11-05 12:19:00,6
2019-11-05 12:22:00,10
2019-11-05 12:25:00,10
2019-11-05 12:28:00,10
2019-11-05 12:30:00,10
2019-11-05 12:32:00,4
2019-11-05 12:33:00,2
2019-11-05 12:34:00,10
2019-11-05 12:36:00,8
2019-11-05 12:37:00,2
2019-11-05 12:38:00,3
2019-11-05 12:39:00,7
2019-11-05 12:41:00,2
2019-11-05 12:42:00,8
2019-11-05 12:44:00,5
2019-11-05 12:45:00,5
2019-11-05 12:47:00,10
2019-11-05 12:49:00,3
2019-11-05 12:50:00,3
2019-11-05 12:51:00,10
2019-11-05 12:54:00,10
2019-11-05 12:56:00,5
2019-11-05 12:58:00,4
2019-11-05 12:59:00,6
2019-11-05 13:02:00,4
2019-11-05 13:03:00,6
2019-11-05 13:06:00,3
2019-11-05 13:08:00,7
2019-11-05 13:09:00,3
2019-11-05 13:12:00,2
2019-11-05 13:13:00,10
2019-11-05 13:16:00,10
2019-11-05 13:19:00,6
2019-11-05 13:21:00,10
2019-11-05 13:24:00,4
2019-11-05 13:25:00,6
2019-11-05 13:27:00,4
2019-11-05 13:28:00,6
2019-11-05 13:30:00,1
2019-11-05 13:31:00,10
2019-11-05 13:35:00,4
2019-11-05 13:36:00,1
2019-11-05 13:37:00,5
2019-11-05 13:38:00,6
2019-11-05 13:40:00,1
2019-11-05 13:41:00,3
2019-11-05 13:42:00,3
