666,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-05 10:35:00,4
2019-11-05 10:38:00,10
2019-11-05 10:41:00,10
2019-11-05 10:43:00,10
2019-11-05 10:47:00,10
2019-11-05 10:51:00,5
2019-11-05 10:52:00,5
2019-11-05 10:54:00,10
2019-11-05 10:57:00,10
2019-11-05 11:01:00,10
2019-11-05 11:04:00,3
2019-11-05 11:05:00,7
2019-11-05 11:08:00,10
2019-11-05 11:11:00,10
2019-11-05 11:13:00,4
2019-11-05 11:15:00,2
2019-11-05 11:16:00,8
2019-11-05 11:19:00,10
2019-11-05 11:21:00,6
2019-11-05 11:23:00,4
2019-11-05 11:24:00,4
2019-11-05 11:28:00,10
2019-11-05 11:32:00,10
2019-11-05 11:35:00,10
2019-11-05 11:38:00,10
2019-11-05 11:42:00,10
2019-11-05 11:44:00,8
2019-11-05 11:45:00,2
2019-11-05 11:46:00,5
2019-11-05 11:47:00,5
2019-11-05 11:50:00,10
2019-11-05 11:53:00,10
2019-11-05 11:56:00,10
2019-11-05 12:00:00,10
2019-11-05 12:03:00,10
2019-11-05 12:07:00,10
2019-11-05 12:10:00,10
2019-11-05 12:12:00,3
2019-11-05 12:13:00,3
2019-11-05 12:14:00,3
2019-11-05 12:17:00,9
2019-11-05 12:18:00,1
2019-11-05 12:21:00,10
2019-11-05 12:24:00,10
2019-11-05 12:27:00,10
2019-11-05 12:29:00,3
2019-11-05 12:30:00,7
2019-11-05 12:32:00,10
2019-11-05 12:33:00,4
2019-11-05 12:34:00,2
2019-11-05 12:36:00,10
2019-11-05 12:38:00,10
2019-11-05 12:41:00,10
2019-11-05 12:44:00,10
2019-11-05 12:46:00,10
2019-11-05 12:49:00,10
2019-11-05 12:50:00,3
2019-11-05 12:51:00,3
2019-11-05 12:53:00,10
2019-11-05 12:56:00,10
2019-11-05 12:58:00,5
2019-11-05 13:01:00,7
2019-11-05 13:02:00,3
2019-11-05 13:06:00,10
2019-11-05 13:07:00,3
2019-11-05 13:12:00,12
2019-11-05 13:15:00,10
2019-11-05 13:18:00,10
2019-11-05 13:20:00,6
2019-11-05 13:24:00,10
2019-11-05 13:27:00,10
2019-11-05 13:29:00,4
2019-11-05 13:30:00,7
2019-11-05 13:34:00,4
2019-11-05 13:35:00,6
2019-11-05 13:36:00,4
2019-11-05 13:37:00,2
2019-11-05 13:40:00,10
2019-11-05 13:42:00,6
2019-11-05 13:43:00,1
2019-11-05 14:52:00,10
2019-11-05 14:54:00,9
2019-11-05 14:55:00,1
2019-11-05 14:57:00,10
2019-11-05 15:01:00,10
2019-11-05 15:05:00,10
2019-11-05 15:09:00,10
2019-11-05 15:11:00,3
2019-11-05 15:13:00,10
2019-11-05 15:16:00,5
2019-11-05 15:17:00,5
