15,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetNearbyObjEq(#, #, #) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.type=#"
2019-10-09 17:14:00,1
2019-10-09 17:16:00,1
2019-10-09 18:25:00,1
2019-10-09 18:27:00,12
