1500,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-09 19:18:00,13
2019-10-09 19:19:00,44
2019-10-09 19:20:00,43
2019-10-09 19:25:00,2
2019-10-09 19:26:00,45
2019-10-09 19:27:00,45
2019-10-09 19:28:00,8
2019-10-09 19:38:00,39
2019-10-09 19:39:00,45
2019-10-09 19:40:00,16
2019-10-09 19:42:00,18
2019-10-09 19:43:00,45
2019-10-09 19:44:00,37
2019-10-09 20:03:00,11
2019-10-09 20:04:00,46
2019-10-09 20:05:00,43
2019-10-09 20:15:00,16
2019-10-09 20:16:00,45
2019-10-09 20:17:00,39
2019-10-09 20:24:00,31
2019-10-09 20:25:00,45
2019-10-09 20:26:00,24
2019-10-09 20:30:00,44
2019-10-09 20:31:00,44
2019-10-09 20:32:00,12
2019-10-09 20:33:00,39
2019-10-09 20:34:00,44
2019-10-09 20:35:00,17
2019-10-09 20:37:00,34
2019-10-09 20:38:00,45
2019-10-09 20:39:00,21
2019-10-09 20:41:00,42
2019-10-09 20:42:00,45
2019-10-09 20:43:00,13
2019-10-09 20:46:00,11
2019-10-09 20:47:00,45
2019-10-09 20:48:00,44
2019-10-09 20:51:00,14
2019-10-09 20:52:00,44
2019-10-09 20:53:00,42
2019-10-09 23:01:00,27
2019-10-09 23:02:00,44
2019-10-09 23:03:00,29
2019-10-09 23:04:00,22
2019-10-09 23:05:00,44
2019-10-09 23:06:00,34
