252,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-10-09 05:00:00,6
2019-10-09 05:01:00,9
2019-10-09 05:02:00,8
2019-10-09 05:03:00,13
2019-10-09 05:04:00,15
2019-10-09 05:05:00,14
2019-10-09 05:06:00,12
2019-10-09 05:07:00,13
2019-10-09 05:08:00,11
2019-10-09 05:09:00,12
2019-10-09 05:10:00,2
2019-10-09 05:14:00,1
2019-10-09 05:21:00,5
2019-10-09 05:22:00,9
2019-10-09 05:23:00,9
2019-10-09 05:24:00,14
2019-10-09 05:25:00,14
2019-10-09 05:26:00,15
2019-10-09 05:27:00,14
2019-10-09 05:28:00,15
2019-10-09 05:29:00,14
2019-10-09 05:30:00,15
2019-10-09 05:31:00,2
2019-10-09 18:00:00,9
2019-10-09 18:01:00,1
