137,select * from galSpecInfo where specObjId=#
2019-12-13 01:17:00,1
2019-12-13 02:15:00,1
2019-12-13 04:49:00,1
2019-12-13 05:07:00,1
2019-12-13 06:35:00,1
2019-12-13 15:40:00,1
2019-12-13 15:41:00,1
2019-12-13 17:36:00,23
2019-12-13 17:37:00,40
2019-12-13 17:38:00,5
2019-12-13 18:30:00,1
2019-12-13 20:11:00,1
2019-12-13 20:21:00,1
2019-12-13 20:22:00,1
2019-12-13 20:23:00,2
2019-12-13 22:40:00,4
2019-12-13 22:41:00,2
2019-12-13 22:42:00,4
2019-12-13 22:43:00,3
2019-12-13 22:44:00,3
2019-12-13 22:45:00,4
2019-12-13 22:46:00,3
2019-12-13 22:47:00,6
2019-12-13 23:02:00,10
2019-12-13 23:03:00,15
2019-12-13 23:04:00,2
