173,"select cg.geom.ToString() as wkt, cg.btype, cg.ptype     from CellTag ca, CellGeom cg     where ca.sampleid = #     and ca.px between # and #     and ca.py between # and #     and cg.cellid=ca.cellid     and cg.btype=#"
2019-12-13 13:14:00,2
2019-12-13 14:05:00,2
2019-12-13 14:06:00,2
2019-12-13 14:07:00,2
2019-12-13 14:09:00,4
2019-12-13 14:10:00,2
2019-12-13 14:12:00,3
2019-12-13 14:13:00,5
2019-12-13 14:14:00,6
2019-12-13 14:15:00,4
2019-12-13 14:16:00,2
2019-12-13 15:01:00,2
2019-12-13 15:14:00,4
2019-12-13 15:15:00,4
2019-12-13 15:16:00,4
2019-12-13 15:20:00,4
2019-12-13 15:22:00,2
2019-12-13 15:24:00,2
2019-12-13 15:25:00,1
2019-12-13 15:26:00,2
2019-12-13 15:27:00,4
2019-12-13 15:29:00,2
2019-12-13 15:30:00,2
2019-12-13 15:33:00,6
2019-12-13 15:34:00,2
2019-12-13 15:36:00,4
2019-12-13 15:37:00,2
2019-12-13 15:38:00,2
2019-12-13 15:39:00,2
2019-12-13 15:40:00,2
2019-12-13 15:41:00,2
2019-12-13 15:42:00,4
2019-12-13 15:43:00,2
2019-12-13 15:44:00,1
2019-12-13 15:45:00,1
2019-12-13 15:46:00,2
2019-12-13 15:47:00,2
2019-12-13 15:56:00,4
2019-12-13 15:57:00,2
2019-12-13 15:58:00,4
2019-12-13 16:00:00,2
2019-12-13 16:01:00,2
2019-12-13 16:03:00,2
2019-12-13 16:04:00,2
2019-12-13 16:05:00,4
2019-12-13 16:08:00,2
2019-12-13 16:11:00,4
2019-12-13 16:12:00,2
2019-12-13 16:13:00,2
2019-12-13 16:14:00,2
2019-12-13 16:19:00,5
2019-12-13 16:20:00,3
2019-12-13 16:29:00,2
2019-12-13 16:30:00,6
2019-12-13 16:31:00,2
2019-12-13 16:33:00,2
2019-12-13 16:36:00,4
2019-12-13 16:37:00,2
2019-12-13 16:38:00,4
2019-12-13 16:40:00,2
2019-12-13 16:44:00,4
2019-12-13 16:46:00,2
