20,"SELECT   specObjID, ra, dec, z, zErr, sourceType FROM SpecObj WHERE ra between # and #"
2019-12-13 11:41:00,1
2019-12-13 11:56:00,2
2019-12-13 11:57:00,1
2019-12-13 12:00:00,1
2019-12-13 12:01:00,2
2019-12-13 12:05:00,1
2019-12-13 12:06:00,1
2019-12-13 12:07:00,1
2019-12-13 12:08:00,1
2019-12-13 12:09:00,1
2019-12-13 12:10:00,1
2019-12-13 12:12:00,1
2019-12-13 12:13:00,1
2019-12-13 12:14:00,1
2019-12-13 12:15:00,1
2019-12-13 12:17:00,1
2019-12-13 12:18:00,1
2019-12-13 12:19:00,1
