141,"select top # petroRad_i, expAB_i, ObjID from galaxy where ObjID IN ( #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, # )"
2019-07-24 05:52:00,2
2019-07-24 06:18:00,6
2019-07-24 06:19:00,14
2019-07-24 18:54:00,15
2019-07-24 19:08:00,2
2019-07-24 19:10:00,6
2019-07-24 19:11:00,8
2019-07-24 19:12:00,19
2019-07-24 19:13:00,2
2019-07-24 19:18:00,6
2019-07-24 19:19:00,10
2019-07-24 19:22:00,2
2019-07-24 19:23:00,4
2019-07-24 21:31:00,1
2019-07-24 21:32:00,11
2019-07-24 21:33:00,3
2019-07-24 23:01:00,24
2019-07-24 23:03:00,6
