2,"SELECT   s.specobjid, p.ra, p.dec, p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,   s.z as redshift  into trash from dr1#.PhotoObjAll AS p     JOIN DR1#.SpecObj AS s ON s.bestobjid = p.objid   WHERE     p.objid=#"
2019-07-24 11:25:00,1
2019-07-24 11:26:00,1
