33,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-07-24 06:58:00,1
2019-07-24 15:48:00,1
2019-07-24 17:21:00,1
2019-07-24 17:22:00,3
2019-07-24 17:23:00,1
2019-07-24 17:24:00,1
2019-07-24 17:26:00,1
2019-07-24 17:27:00,4
2019-07-24 17:28:00,1
2019-07-24 17:49:00,1
2019-07-24 18:44:00,1
2019-07-24 18:50:00,5
2019-07-24 18:51:00,2
2019-07-24 18:56:00,2
2019-07-24 19:10:00,1
2019-07-24 19:45:00,1
2019-07-24 19:46:00,5
2019-07-24 23:05:00,1
