217,"SELECT g.objid, g.ra, g.dec, g. dered_g, g. dered_r, err_g, err_r, petroRad_r, petroRadErr_r FROM Galaxy AS g, dbo.fGetNearbyObjEq(#,#,#) AS n WHERE g.objID = n.objID AND ((g.flags_r & #) != #) AND ((g.flags_r & #) = #) AND (((g.flags_r & #) = #) or (g.psfmagerr_r <= #)) AND (((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-07-24 08:55:00,3
2019-07-24 09:07:00,5
2019-07-24 09:08:00,2
2019-07-24 09:09:00,6
2019-07-24 09:10:00,10
2019-07-24 09:14:00,5
2019-07-24 09:15:00,24
2019-07-24 09:16:00,25
2019-07-24 09:17:00,11
2019-07-24 09:18:00,3
2019-07-24 09:19:00,15
2019-07-24 09:35:00,3
2019-07-24 09:36:00,8
2019-07-24 09:37:00,13
2019-07-24 09:40:00,1
2019-07-24 09:41:00,2
2019-07-24 09:42:00,3
2019-07-24 09:43:00,10
2019-07-24 09:44:00,15
2019-07-24 09:45:00,5
2019-07-24 09:46:00,13
2019-07-24 09:47:00,10
2019-07-24 09:48:00,7
2019-07-24 09:49:00,3
2019-07-24 09:50:00,9
2019-07-24 09:51:00,6
