2,"SELECT   s.bestObjID, m.*   INTO   myDB.    FROM   myDB.teste as m, SpecObj as s    WHERE   s.ra = m.ra and   s.dec = m.dec"
2019-07-24 09:23:00,1
2019-07-24 09:24:00,1
